_EST_NORM,n,codigos,ejemplos
COLEGIO MIXTO IDEAS,10,"['11-01-0133-46', '11-01-0223-46', '11-01-0365-46', '11-01-0366-46', '11-01-0519-46']",['COLEGIO MIXTO IDEAS']
COLEGIO GUATEMALTECO TIKAL NO 2,10,"['01-05-0100-46', '01-05-0102-46', '01-05-0106-46', '01-05-0107-46', '01-05-0108-46', '01-05-0109-46', '01-17-0331-46', '01-17-0332-46', '01-17-0337-46', '01-17-0339-46']",['COLEGIO GUATEMALTECO TIKAL NO 2']
COLEGIO MIXTO PRIVADO SAN PEDRO MARTIR DE VERONA,10,"['17-08-0003-46', '17-09-0004-46', '17-09-0322-46', '17-12-0002-46', '17-12-0142-46', '17-12-0143-46', '17-12-0156-46', '17-12-0173-46', '17-12-0174-46', '17-12-1046-46']",['COLEGIO MIXTO PRIVADO SAN PEDRO MARTIR DE VERONA']
COLEGIO EVANGELICO MIXTO GETSEMANI,10,"['04-03-0187-46', '04-03-0189-46', '04-03-0205-46', '04-03-0240-46', '04-03-0259-46', '04-07-0037-46', '09-20-0141-46', '13-06-0074-46', '13-06-5758-46', '13-06-6756-46']",['COLEGIO EVANGELICO MIXTO GETSEMANI']
COLEGIO EVANGELICO MIXTO PALABRA VIVA,10,"['11-01-0321-46', '11-01-0327-46', '11-01-0338-46', '11-01-0340-46', '11-01-0507-46']",['COLEGIO EVANGELICO MIXTO PALABRA VIVA']
LICEO CRISTIANO BETH SHALOM,10,"['01-14-0053-46', '01-14-0054-46', '01-14-0085-46', '01-14-0169-46', '01-14-0194-46', '01-14-6827-46', '01-14-6828-46', '01-14-6829-46', '01-14-6830-46', '01-14-7163-46']",['LICEO CRISTIANO BETH SHALOM']
COLEGIO PARTICULAR MIXTO PAULO COELHO,10,"['11-01-0165-46', '11-01-0167-46', '11-01-0193-46', '11-01-0393-46', '11-01-0476-46']",['COLEGIO PARTICULAR MIXTO PAULO COELHO']
CENTRO EDUCATIVO IMB PC EN LINEA IMB PC ONLINE,10,"['00-12-0004-46', '00-12-0005-46', '00-12-0008-46', '00-12-0010-46', '01-15-0217-46', '01-15-0218-46', '01-15-0282-46', '01-15-0475-46', '01-15-0751-46', '01-15-0752-46']",['CENTRO EDUCATIVO IMB PC EN LINEA IMB PC ONLINE']
LICEO CRISTO REY,10,"['19-01-0156-46', '19-01-0178-46', '19-01-0179-46', '19-01-0183-46', '19-01-0215-46']",['LICEO CRISTO REY']
INSTITUTO PARTICULAR MIXTO SAN ANTONIO,10,"['05-02-0064-46', '05-02-0065-46', '05-02-0085-46', '05-02-0086-46', '05-02-0087-46', '05-02-0088-46', '05-02-0133-46', '05-02-0134-46', '05-02-0135-46', '05-02-2920-46']",['INSTITUTO PARTICULAR MIXTO SAN ANTONIO']
LICEO MIXTO QUICHE,10,"['14-01-0080-46', '14-01-0166-46', '14-01-0243-46', '14-01-0273-46', '14-01-4550-46']",['LICEO MIXTO QUICHE']
COLEGIO AMERICANO MAYA QUICHE,10,"['14-20-0150-46', '14-20-0184-46', '14-20-5058-46', '14-20-5525-46', '14-20-5526-46']",['COLEGIO AMERICANO MAYA QUICHE']
LICEO ALFRED NOBEL,10,"['11-01-0344-46', '11-01-0348-46', '11-01-0350-46', '11-01-0351-46', '11-01-0516-46']",['LICEO ALFRED NOBEL']
CENTRO EDUCATIVO JUAN PABLO II,10,"['00-18-0148-46', '01-08-0181-46', '01-08-0603-46', '01-08-0791-46', '11-01-0027-46', '11-01-0084-46', '11-01-1503-46']",['CENTRO EDUCATIVO JUAN PABLO II']
COLEGIO EJECUTIVO PRE UNIVERSITARIO EN COMPUTACION CLASSE,10,"['14-01-0210-46', '14-01-0259-46', '14-01-0275-46', '14-01-4555-46', '14-01-5718-46']",['COLEGIO EJECUTIVO PRE UNIVERSITARIO EN COMPUTACION CLASSE']
COLEGIO EVANGELICO DE ESTUDIOS INTEGRADOS SAN SEBASTIAN CEEDISS,10,"['11-02-0052-46', '11-02-0056-46', '11-02-0058-46', '11-02-0059-46', '11-02-0063-46']",['COLEGIO EVANGELICO DE ESTUDIOS INTEGRADOS SAN SEBASTIAN CEEDISS']
COLEGIO CRISTIANO EMMANUEL,10,"['05-02-0117-46', '05-02-0118-46', '05-02-0237-46', '05-02-0238-46', '05-02-0239-46', '05-02-1780-46', '05-02-3000-46', '10-14-0071-46', '10-14-0081-46', '10-14-0082-46']",['COLEGIO CRISTIANO EMMANUEL']
COLEGIO PRIVADO MIXTO NUEVA GENERACION,10,"['11-01-0291-46', '11-01-0294-46', '11-01-0296-46', '11-01-0372-46', '11-01-0492-46']",['COLEGIO PRIVADO MIXTO NUEVA GENERACION']
INSTITUTO MIXTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSENANZA,10,"['03-09-0063-46', '06-08-0068-46', '06-09-0032-46', '11-05-0042-46', '14-15-0220-46', '19-03-0004-46', '20-02-0010-46']",['INSTITUTO MIXTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSENANZA']
COLEGIO VALVERDE NO 2,10,"['00-01-0465-46', '00-01-0819-46', '00-01-9780-46', '00-01-9788-46', '00-01-9789-46', '00-01-9790-46', '00-12-9354-46', '00-12-9355-46', '00-12-9357-46', '00-12-9698-46']",['COLEGIO VALVERDE NO 2']
LICEO TECNICO MAQUINENSE LITECMA,10,"['11-06-0061-46', '11-06-0064-46', '11-06-0065-46', '11-06-0069-46', '11-06-0082-46']",['LICEO TECNICO MAQUINENSE LITECMA']
COLEGIO MIXTO BILINGUE INTERCULTURAL Q IJ,9,"['14-01-0090-46', '14-01-0186-46', '14-01-0189-46', '14-01-6071-46', '14-01-6083-46']",['COLEGIO MIXTO BILINGUE INTERCULTURAL Q IJ']
LICEO MIXTO SAN JOSE,9,"['05-02-0034-46', '05-02-0045-46', '05-02-0055-46', '05-02-0057-46', '05-02-0058-46', '05-02-0072-46', '05-02-0251-46', '13-01-0182-46', '13-01-0183-46']",['LICEO MIXTO SAN JOSE']
INSTITUTO TECNICO EMPRESARIAL,9,"['03-01-0091-46', '03-01-0835-46', '03-01-1121-46', '03-01-1250-46', '03-12-0073-46', '03-12-0074-46', '03-12-0108-46', '03-12-0109-46', '03-12-0110-46']",['INSTITUTO TECNICO EMPRESARIAL']
LICEO CANADIENSE,9,"['00-01-0262-46', '00-01-0563-46', '00-01-0761-46', '00-01-7911-46', '00-01-7912-46', '00-01-8938-46', '12-15-0187-46', '12-17-0045-46', '12-17-0048-46']",['LICEO CANADIENSE']
LICEO DE CIENCIAS TECNICAS,9,"['00-01-3157-46', '00-06-0007-46', '00-06-0008-46', '00-06-0085-46', '00-06-4201-46', '00-06-4298-46', '00-06-4365-46', '00-06-4407-46', '00-06-7045-46']",['LICEO DE CIENCIAS TECNICAS']
INSTITUTO TECNICO PARTICULAR DE DIVERSIFICADO INTECPADI,9,"['22-01-0019-46', '22-01-0302-46', '22-01-0320-46', '22-01-0321-46', '22-01-0410-46', '22-01-0605-46', '22-01-1611-46', '22-01-1613-46', '22-01-2196-46']",['INSTITUTO TECNICO PARTICULAR DE DIVERSIFICADO INTECPADI']
LICEO DE CIENCIA Y TECNOLOGIA,9,"['00-07-0214-46', '00-07-9092-46', '00-07-9093-46', '00-07-9094-46', '00-07-9545-46', '18-04-0124-46', '18-04-0126-46', '18-04-0128-46', '18-04-0182-46']",['LICEO DE CIENCIA Y TECNOLOGIA']
INSTITUTO PARTICULAR MIXTO DE MERCADOTECNIA Y PUBLICIDAD DE SURORIENTE,9,"['06-02-0030-46', '06-02-0032-46', '06-02-0101-46', '06-02-0448-46', '06-02-0469-46', '06-08-0078-46', '06-08-0090-46', '06-08-0449-46', '06-08-1840-46']",['INSTITUTO PARTICULAR MIXTO DE MERCADOTECNIA Y PUBLICIDAD DE SURORIENTE']
